,model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize
853, I10,2019,10790,Manual,50,Petrol,145,49.6,1.0
854, Tucson,2016,13990,Manual,18688,Diesel,30,61.7,1.7
855, Tucson,2017,12998,Manual,15999,Diesel,145,61.7,1.7
856, I30,2018,11500,Manual,11651,Diesel,145,74.3,1.6
857, I20,2020,14485,Manual,100,Petrol,145,46.3,1.2
858, Ioniq,2019,17999,Automatic,3000,Hybrid,135,78.5,1.6
859, I10,2017,9624,Semi-Auto,8154,Petrol,145,47.9,1.2
860, I10,2016,7280,Manual,16205,Petrol,30,57.6,1.2
861, I10,2018,9750,Manual,16874,Petrol,150,57.7,1.2
862, I20,2017,11400,Automatic,12661,Petrol,145,44.1,0.0
863, I20,2014,5770,Manual,33013,Petrol,30,57.6,1.2
864, IX20,2016,7998,Manual,18562,Petrol,125,50.4,1.4
865, Tucson,2016,12498,Manual,21037,Diesel,30,61.7,1.7
866, I20,2017,9990,Manual,16012,Petrol,30,55.4,1.2
867, I10,2018,8995,Manual,10553,Petrol,145,57.7,1.2
868, I10,2019,9325,Manual,3682,Petrol,145,57.6,1.2
869, I20,2018,11000,Manual,4309,Petrol,150,55.4,1.2
870, Ioniq,2019,23991,Automatic,5500,Hybrid,135,78.5,1.6
871, Ioniq,2018,15980,Automatic,14585,Hybrid,140,78.5,1.6
872, Kona,2018,15000,Manual,7557,Petrol,150,52.3,1.0
873, Tucson,2019,18395,Semi-Auto,15487,Petrol,145,36.2,1.6
874, I10,2018,7495,Manual,20948,Petrol,145,60.1,1.0
875, I30,2017,9995,Manual,22521,Petrol,145,56.5,1.0
876, Santa Fe,2019,31390,Semi-Auto,13675,Diesel,150,39.8,2.2
877, I10,2016,6960,Manual,10590,Petrol,20,60.1,1.0
878, I30,2015,7991,Manual,47588,Petrol,145,48.7,1.4
879, Tucson,2017,13998,Manual,26976,Diesel,145,61.7,1.7
880, I10,2019,8299,Manual,7079,Petrol,145,60.1,1.0
881, I30,2014,4291,Manual,107419,Diesel,0,76.3,1.6
882, Santa Fe,2017,19899,Semi-Auto,37123,Diesel,150,42.8,2.2
883, I10,2009,1995,Manual,55000,Petrol,30,56.5,1.2
884, Tucson,2016,12700,Manual,45910,Diesel,200,47.9,2.0
885, IX35,2015,8995,Manual,33153,Diesel,145,53.3,1.7
886, IX35,2014,9800,Manual,35541,Diesel,145,53.3,1.7
887, I30,2019,14998,Manual,6879,Petrol,145,41.5,1.4
888, I20,2019,11480,Manual,2128,Petrol,145,47.9,1.0
889, I20,2018,11000,Manual,4256,Petrol,145,55.4,1.2
890, I40,2015,8700,Manual,31979,Diesel,30,65.7,1.7
891, I10,2017,7498,Manual,8788,Petrol,145,60.1,1.0
892, I10,2017,11000,Semi-Auto,12536,Petrol,145,47.9,1.2
893, Ioniq,2019,16498,Automatic,4004,Hybrid,135,78.5,1.6
894, I10,2019,10991,Semi-Auto,6000,Petrol,145,47.9,1.2
895, Tucson,2019,15792,Manual,13725,Petrol,150,35.3,1.6
896, Tucson,2017,14998,Manual,25123,Diesel,145,54.3,2.0
897, Tucson,2019,18495,Manual,2450,Petrol,145,35.3,1.6
898, Ioniq,2018,14995,Semi-Auto,37445,Hybrid,135,78.5,1.6
899, I800,2016,13710,Automatic,27802,Diesel,325,33.6,2.5
900, I800,2018,16280,Manual,33113,Diesel,145,31.7,2.5
901, Tucson,2019,22000,Manual,1694,Petrol,145,34.9,1.6
902, I10,2018,7695,Manual,14956,Petrol,145,60.1,1.0
903, Santa Fe,2017,21849,Semi-Auto,26385,Diesel,235,42.8,2.2
904, I20,2020,12995,Manual,3000,Petrol,145,46.3,1.2
905, Tucson,2019,16395,Manual,5338,Petrol,145,34.9,1.6
906, I10,2018,8000,Manual,13546,Petrol,145,60.1,1.0
907, I800,2019,19798,Automatic,8491,Diesel,145,31.7,2.5
908, Tucson,2016,11990,Manual,35988,Diesel,30,61.7,1.7
909, IX35,2015,9891,Manual,33910,Petrol,200,41.5,1.6
910, I10,2015,5690,Manual,25731,Petrol,20,60.1,1.0
911, IX35,2015,9700,Manual,26564,Petrol,200,41.5,0.0
912, Tucson,2016,14490,Automatic,39573,Diesel,200,47.1,2.0
913, I30,2017,10500,Automatic,17663,Diesel,20,72.4,0.0
914, I20,2017,9995,Manual,17452,Petrol,145,58.9,1.0
915, I10,2017,6795,Manual,20863,Petrol,145,60.1,1.0
916, I10,2018,7985,Manual,7594,Petrol,145,60.1,1.0
917, IX20,2017,8495,Automatic,31100,Petrol,160,43.5,1.6
918, Tucson,2015,10995,Manual,54411,Diesel,30,61.7,1.7
919, I30,2016,9250,Semi-Auto,27000,Diesel,20,72.4,1.6
920, Kona,2018,13498,Manual,6922,Petrol,145,44.1,1.0
921, IX35,2015,8290,Manual,51000,Diesel,145,53.3,1.7
922, I20,2017,7999,Manual,32582,Petrol,30,58.9,1.2
923, Kona,2019,15650,Manual,15139,Petrol,145,44.1,1.0
924, I30,2016,8850,Manual,20457,Diesel,0,78.4,1.6
925, I10,2015,6500,Manual,12731,Petrol,30,57.6,1.2
926, Tucson,2019,16300,Manual,10066,Petrol,150,34.9,0.0
927, Tucson,2017,10990,Manual,43564,Diesel,30,61.7,1.7
928, I40,2015,9995,Manual,39779,Diesel,30,65.7,1.7
929, Tucson,2017,15500,Semi-Auto,20529,Diesel,145,57.6,1.7
930, I30,2018,13975,Semi-Auto,9578,Petrol,145,52.3,1.4
931, I20,2017,7180,Manual,37500,Petrol,30,58.9,1.2
932, I30,2017,10252,Manual,29664,Diesel,145,74.3,1.6
933, I10,2017,8380,Manual,19230,Petrol,145,57.7,1.2
934, I20,2016,7990,Manual,22654,Petrol,30,55.4,1.2
935, I40,2019,19490,Semi-Auto,2450,Diesel,145,53.3,1.6
936, I10,2018,8591,Manual,7057,Petrol,145,57.7,1.2
937, Tucson,2017,15270,Automatic,31470,Diesel,200,46.3,2.0
938, Kona,2018,13490,Manual,24239,Petrol,145,52.3,1.0
939, Tucson,2019,15000,Manual,22397,Petrol,150,34.9,0.0
940, IX20,2015,8032,Manual,27328,Petrol,125,50.4,1.4
941, I20,2016,7750,Manual,27497,Petrol,30,55.4,1.2
942, Kona,2019,13799,Manual,7925,Petrol,145,44.1,1.0
943, Tucson,2019,22995,Semi-Auto,2800,Petrol,145,36.2,1.6
944, I10,2020,11795,Manual,85,Petrol,145,56.5,1.0
945, Tucson,2016,11695,Manual,22684,Diesel,30,61.7,1.7
946, Tucson,2018,15500,Manual,2820,Petrol,145,35.3,1.6
947, I30,2015,6885,Manual,59000,Diesel,0,78.4,1.6
948, Tucson,2020,25495,Semi-Auto,1000,Hybrid,145,50.4,1.6
949, I10,2017,7500,Manual,14570,Petrol,30,57.7,1.2
950, I10,2020,13500,Manual,1000,Petrol,150,53.3,1.0
951, I800,2019,18499,Manual,15997,Diesel,150,31.7,2.5
952, Tucson,2017,16998,Semi-Auto,23941,Diesel,125,57.6,1.7
953, I20,2017,7999,Manual,17307,Petrol,145,58.9,1.2
954, Tucson,2018,20750,Semi-Auto,8443,Petrol,145,36.2,1.6
955, Tucson,2016,11498,Manual,21240,Diesel,30,61.7,1.7
956, I10,2017,6660,Manual,37798,Petrol,145,57.7,1.2
957, Tucson,2017,13790,Semi-Auto,15994,Diesel,125,57.6,1.7
958, I20,2017,8591,Manual,18600,Petrol,145,58.9,1.2
959, I10,2017,7799,Manual,21321,Petrol,145,57.7,1.2
960, Kona,2018,13470,Manual,7837,Petrol,145,44.1,1.0
961, I40,2014,8921,Automatic,56078,Diesel,200,47.1,1.7
962, I10,2018,8450,Manual,11350,Petrol,145,57.7,1.2
963, Ioniq,2019,22998,Automatic,2844,Hybrid,140,1.1,1.6
964, IX20,2015,7699,Manual,27399,Petrol,125,50.4,1.4
965, Tucson,2016,13474,Manual,12999,Diesel,30,61.7,1.7
966, Tucson,2019,16195,Manual,4270,Petrol,145,34.9,1.6
967, Santa Fe,2015,14498,Manual,25770,Diesel,200,46.3,2.2
968, IX20,2016,8991,Automatic,13302,Petrol,160,43.5,1.6
969, Tucson,2017,14498,Manual,21776,Diesel,145,61.7,1.7
970, I10,2017,7495,Manual,17333,Petrol,20,60.1,1.0
971, Ioniq,2019,23991,Automatic,5500,Hybrid,135,78.5,1.6
972, I10,2019,9770,Manual,17401,Petrol,145,57.6,1.2
973, IX35,2011,5475,Manual,79000,Petrol,205,41.5,1.6
974, Tucson,2016,13995,Automatic,20000,Diesel,200,47.1,2.0
975, I30,2017,11399,Manual,30067,Petrol,145,44.8,1.6
976, Ioniq,2017,16790,Automatic,7858,Hybrid,135,78.5,1.6
977, I10,2018,7495,Manual,14669,Petrol,145,60.1,1.0
978, I30,2019,25000,Manual,3000,Petrol,145,34.0,2.0
979, I30,2013,5498,Manual,64149,Petrol,145,47.1,1.4
980, I20,2017,7499,Manual,16035,Petrol,145,55.4,1.2
981, I10,2016,6495,Manual,36193,Petrol,30,57.6,1.2
982, I10,2018,8750,Manual,9151,Petrol,145,57.7,1.2
983, I10,2018,7485,Manual,18385,Petrol,145,60.1,1.0
984, I30,2020,15985,Manual,100,Petrol,145,45.6,1.0
985, I10,2018,8490,Manual,14804,Petrol,145,60.1,1.0
986, I10,2019,8290,Manual,12760,Petrol,145,57.6,1.2
987, Kona,2019,13699,Manual,1001,Petrol,145,44.1,1.0
988, Kona,2019,22990,Semi-Auto,1527,Petrol,150,34.0,1.6
989, I30,2013,5995,Manual,42786,Petrol,145,47.1,1.4
990, IX20,2013,6000,Manual,42320,Petrol,145,45.6,1.4
991, Kona,2019,14989,Manual,1850,Petrol,145,44.1,1.0
992, Tucson,2019,18495,Semi-Auto,16375,Petrol,145,36.2,1.6
993, Tucson,2016,10695,Manual,66216,Diesel,30,61.7,1.7
994, I10,2017,7259,Manual,35162,Petrol,150,60.1,1.0
995, I10,2018,7291,Manual,11491,Petrol,150,60.1,1.0
996, Tucson,2019,18995,Manual,90,Petrol,145,34.9,1.6
997, Tucson,2019,14980,Manual,12206,Petrol,145,35.3,1.6
998, Kona,2018,14590,Manual,7473,Petrol,145,52.3,1.0
999, Santa Fe,2019,33900,Semi-Auto,1173,Diesel,145,39.2,2.2
1000, Santa Fe,2019,26290,Automatic,4566,Diesel,145,42.2,2.2
1001, Santa Fe,2016,16470,Manual,39979,Diesel,200,47.1,2.2
1002, I10,2020,13000,Manual,500,Petrol,145,53.3,1.0
1003, Ioniq,2019,17442,Automatic,5032,Hybrid,135,78.5,1.6
1004, I10,2015,6000,Manual,25705,Petrol,20,60.1,1.0
1005, Tucson,2019,14600,Manual,18432,Petrol,145,34.9,1.6
1006, Tucson,2018,17190,Semi-Auto,33026,Diesel,145,57.7,1.7
1007, IX20,2016,8050,Manual,27815,Petrol,125,50.4,1.4
1008, I10,2019,10490,Manual,25,Petrol,145,49.6,1.0
1009, Kona,2019,22000,Semi-Auto,18,Petrol,145,37.7,1.6
1010, IX20,2016,7998,Manual,28933,Petrol,125,50.4,1.4
1011, I800,2018,15701,Manual,20896,Diesel,145,37.7,2.5
1012, I30,2018,10950,Manual,38687,Petrol,145,52.3,1.4
1013, Kona,2018,12998,Manual,11458,Petrol,145,52.3,1.0
1014, Tucson,2016,12491,Manual,28895,Diesel,30,61.7,1.7
1015, I10,2019,8489,Manual,100,Petrol,145,60.1,1.0
1016, IX35,2015,9691,Manual,23866,Diesel,145,54.3,1.7
1017, I40,2019,16000,Manual,10,Diesel,145,52.3,1.6
1018, I10,2016,6500,Manual,11909,Petrol,20,60.1,1.0
1019, Tucson,2019,21490,Manual,623,Petrol,145,34.9,1.6
1020, I20,2014,5498,Manual,36818,Petrol,30,57.6,1.2
1021, I10,2016,7500,Manual,6000,Petrol,20,57.6,1.2
1022, I20,2019,11670,Manual,2928,Petrol,145,47.9,1.0
1023, Santa Fe,2017,17295,Manual,30142,Diesel,200,47.1,2.2
1024, Santa Fe,2016,16995,Semi-Auto,30822,Diesel,235,42.8,2.2
1025, I20,2016,9295,Manual,28106,Petrol,30,56.5,1.2
1026, I10,2018,7291,Manual,11562,Petrol,150,60.1,1.0
1027, Tucson,2016,12698,Manual,35870,Diesel,30,61.7,1.7
1028, Santa Fe,2019,32494,Semi-Auto,9445,Diesel,150,39.2,2.2
1029, Tucson,2016,8988,Manual,87146,Petrol,160,44.8,1.6
1030, I30,2017,12400,Manual,15814,Petrol,145,52.3,1.4
1031, Tucson,2016,13798,Semi-Auto,3778,Diesel,125,57.6,1.7
1032, I30,2019,21800,Manual,13045,Petrol,145,34.0,2.0
1033, I30,2016,10485,Manual,31745,Diesel,20,72.4,1.6
1034, I10,2017,6498,Manual,31696,Petrol,20,60.1,1.0
1035, I10,2019,10890,Manual,100,Petrol,145,49.6,1.0
1036, Kona,2018,14579,Manual,8093,Petrol,150,54.3,1.0
1037, I30,2018,11000,Manual,17800,Petrol,150,45.6,1.0
1038, Kona,2018,13100,Manual,9616,Petrol,145,52.3,1.0
1039, Tucson,2020,26995,Manual,3000,Hybrid,145,47.9,1.6
1040, I30,2017,10995,Manual,16030,Petrol,145,56.5,1.0
1041, Tucson,2016,11500,Manual,52455,Diesel,30,61.7,0.0
1042, I800,2018,15299,Automatic,32469,Diesel,145,33.6,2.5
1043, Kona,2019,13480,Manual,6964,Petrol,150,44.1,1.0
1044, I10,2019,8395,Manual,16108,Petrol,145,57.6,1.2
1045, I10,2017,6550,Manual,31589,Petrol,145,60.1,1.0
1046, I10,2017,7500,Manual,12268,Petrol,30,57.7,1.2
1047, I30,2018,12500,Manual,9558,Petrol,145,52.3,1.4
1048, IX20,2018,10500,Manual,9328,Petrol,150,50.4,1.4
1049, Ioniq,2018,18690,Automatic,7725,Hybrid,135,78.5,1.6
1050, I10,2020,11895,Manual,1000,Petrol,145,56.5,1.0
1051, Santa Fe,2019,33992,Semi-Auto,7130,Diesel,145,39.2,2.2
1052, I10,2018,7995,Manual,6012,Petrol,145,60.1,1.0
1053, Tucson,2016,13300,Manual,25071,Diesel,30,61.7,1.7
1054, Tucson,2018,15495,Manual,9443,Petrol,145,34.9,1.6
1055, I20,2019,11790,Manual,7097,Petrol,145,46.3,1.2
1056, I20,2017,8891,Manual,20259,Petrol,20,62.8,1.0
1057, Tucson,2018,15990,Manual,10117,Petrol,150,34.9,1.6
1058, I10,2017,6890,Manual,6919,Petrol,20,60.1,1.0
1059, I20,2018,11390,Manual,4856,Petrol,150,47.9,1.0
1060, I10,2014,6490,Manual,19874,Petrol,30,57.6,1.2
1061, I30,2018,12190,Semi-Auto,30709,Petrol,150,51.4,1.4
1062, I10,2014,5289,Manual,38073,Petrol,20,60.1,1.0
1063, I20,2017,8982,Manual,9207,Petrol,145,55.4,1.2
1064, I30,2017,9990,Manual,41477,Diesel,145,74.3,1.6
1065, I30,2017,12495,Manual,2924,Petrol,145,56.5,1.0
1066, IX20,2013,7250,Automatic,26289,Petrol,200,43.6,1.6
1067, Ioniq,2019,23991,Automatic,5500,Hybrid,135,78.5,1.6
1068, Tucson,2017,13998,Manual,15908,Diesel,145,61.7,1.7
1069, Tucson,2016,12295,Manual,26452,Diesel,30,61.7,1.7
1070, I40,2013,6495,Manual,66300,Diesel,150,55.4,1.7
1071, I800,2019,19995,Manual,11872,Diesel,145,31.7,2.5
1072, I10,2014,5916,Manual,13281,Petrol,20,60.1,1.0
1073, IX20,2016,8590,Manual,17611,Petrol,125,50.4,1.4
1074, I30,2013,7990,Automatic,44538,Diesel,160,50.4,1.6
1075, Santa Fe,2019,28990,Automatic,7921,Diesel,145,42.8,2.2
1076, IX20,2016,7240,Manual,38756,Petrol,125,50.4,1.4
1077, I30,2015,4492,Manual,124000,Diesel,0,78.4,1.6
1078, Tucson,2019,24989,Manual,7374,Hybrid,145,47.9,1.6
1079, Kona,2019,13491,Manual,9283,Petrol,150,44.1,1.0
1080, Tucson,2019,17749,Manual,19450,Diesel,145,48.7,1.6
1081, I800,2019,20698,Manual,4054,Diesel,145,31.7,2.5
1082, Kona,2018,18995,Semi-Auto,7769,Petrol,145,42.2,1.6
1083, I10,2017,6795,Manual,17095,Petrol,145,60.1,1.0
1084, I20,2019,11891,Manual,1583,Petrol,145,46.3,1.2
1085, I10,2017,8295,Manual,11000,Petrol,30,57.7,1.2
1086, Tucson,2018,20995,Automatic,12193,Diesel,145,47.1,2.0
1087, I20,2019,10485,Manual,13879,Petrol,145,46.3,1.2
1088, Kona,2018,13470,Manual,13533,Petrol,145,44.1,1.0
1089, Tucson,2019,15790,Manual,5757,Petrol,145,34.9,1.6
1090, I20,2015,6498,Manual,41823,Petrol,30,55.4,1.2
1091, Tucson,2019,15498,Manual,11686,Petrol,150,34.9,1.6
1092, Tucson,2017,13698,Manual,31739,Diesel,145,61.7,1.7
1093, Tucson,2018,13990,Manual,23401,Petrol,150,44.8,1.6
1094, Ioniq,2018,14959,Automatic,37133,Hybrid,135,78.5,1.6
1095, Ioniq,2017,15470,Automatic,18747,Hybrid,135,78.5,1.6
1096, Kona,2019,13920,Manual,11478,Petrol,145,44.1,1.0
1097, I20,2015,5495,Manual,56471,Petrol,30,58.9,1.2
1098, I30,2018,11498,Manual,16174,Diesel,145,74.3,1.6
1099, I10,2009,2495,Manual,83677,Petrol,30,56.5,1.2
1100, Tucson,2019,23795,Manual,3000,Hybrid,145,51.4,1.6
1101, Tucson,2016,17298,Manual,18210,Diesel,125,58.9,2.0
1102, Kona,2019,16390,Manual,50,Petrol,145,44.1,1.0
1103, I30,2019,24995,Manual,1426,Petrol,145,34.0,2.0
1104, I10,2019,10220,Manual,100,Petrol,145,49.6,1.0
1105, IX20,2017,9998,Automatic,20673,Petrol,150,43.5,1.6
1106, Tucson,2019,16995,Manual,1430,Petrol,150,34.9,1.6
1107, Tucson,2017,13490,Semi-Auto,43858,Diesel,125,57.6,1.7
1108, Tucson,2019,17490,Semi-Auto,17452,Petrol,150,36.2,1.6
1109, I10,2015,5495,Manual,27056,Petrol,20,60.1,1.0
1110, I40,2019,21000,Semi-Auto,1000,Diesel,145,53.3,1.6
1111, IX35,2015,9498,Manual,42865,Diesel,150,53.3,1.7
1112, I10,2018,8000,Manual,10605,Petrol,145,60.1,1.0
1113, Tucson,2019,22395,Semi-Auto,9898,Petrol,150,35.8,1.6
1114, I10,2017,7400,Manual,24879,Petrol,145,60.1,1.0
1115, I30,2014,7100,Manual,45616,Petrol,165,46.0,1.4
1116, Tucson,2016,13999,Automatic,15758,Diesel,125,57.6,1.7
1117, IX20,2014,7250,Automatic,27082,Petrol,200,43.6,1.6
1118, IX35,2013,7999,Manual,55736,Diesel,200,48.7,2.0
1119, I10,2017,6499,Manual,13425,Petrol,20,60.1,1.0
1120, Tucson,2018,18295,Manual,10300,Diesel,145,48.7,1.6
1121, Ioniq,2017,15995,Automatic,18436,Hybrid,135,78.5,1.6
1122, I30,2018,11000,Manual,33762,Petrol,150,56.5,1.0
1123, I20,2015,7995,Manual,19800,Petrol,30,55.4,1.2
1124, Kona,2019,22990,Semi-Auto,10,Petrol,145,37.7,1.6
1125, I10,2016,6650,Manual,13500,Petrol,20,60.1,1.0
1126, I30,2019,14990,Manual,1247,Petrol,145,45.6,1.0
1127, Tucson,2019,17449,Manual,3774,Petrol,150,34.9,1.6
1128, I20,2020,14400,Manual,1,Petrol,145,46.3,1.2
1129, Tucson,2017,13666,Manual,18465,Diesel,30,61.7,1.7
1130, Tucson,2019,23480,Semi-Auto,7469,Hybrid,145,50.4,1.6
1131, I10,2017,6991,Manual,22012,Petrol,20,60.1,1.0
1132, Tucson,2019,18495,Automatic,13555,Petrol,145,36.2,1.6
1133, Tucson,2019,16390,Manual,10,Petrol,145,35.3,1.6
1134, Tucson,2019,15498,Manual,14844,Petrol,145,34.9,1.6
1135, Ioniq,2017,15397,Automatic,8305,Hybrid,135,78.5,1.6
1136, I10,2016,5995,Manual,31000,Petrol,20,60.1,1.0
1137, Santa Fe,2019,34495,Semi-Auto,3837,Diesel,145,39.2,2.2
1138, Tucson,2018,12300,Manual,14160,Petrol,145,44.8,1.6
1139, I40,2017,9999,Manual,38472,Diesel,145,65.7,1.7
1140, I10,2019,8970,Manual,11544,Petrol,145,57.6,1.2
1141, Tucson,2019,18245,Semi-Auto,16923,Petrol,145,36.2,1.6
1142, Tucson,2017,14966,Manual,24963,Diesel,150,61.4,1.7
1143, I30,2019,14998,Manual,3001,Petrol,145,41.5,1.4
1144, Kona,2018,13295,Manual,16700,Petrol,145,44.1,1.0
1145, I800,2018,17680,Automatic,32543,Diesel,145,28.0,2.5
1146, I30,2016,7998,Manual,50167,Diesel,0,78.4,1.6
1147, Kona,2019,13599,Manual,12273,Petrol,145,44.1,1.0
1148, I30,2019,23469,Manual,2938,Petrol,145,34.0,2.0
1149, I10,2018,8490,Manual,19995,Petrol,145,60.1,1.0
1150, Santa Fe,2016,18990,Semi-Auto,14157,Diesel,235,42.2,2.2
1151, Tucson,2017,13950,Manual,32000,Diesel,30,61.7,1.7
1152, I10,2017,6690,Manual,27821,Petrol,20,60.1,1.0
1153, Ioniq,2018,13789,Automatic,37125,Hybrid,135,78.5,1.6
1154, Tucson,2017,14000,Manual,13794,Petrol,150,44.8,1.6
1155, I10,2018,7495,Manual,15207,Petrol,145,60.1,1.0
1156, I10,2018,7485,Manual,9832,Petrol,145,60.1,1.0
1157, Tucson,2019,15498,Manual,12077,Petrol,145,34.9,1.6
1158, I10,2014,5989,Manual,24986,Petrol,30,57.6,1.2
1159, I10,2018,8995,Manual,4916,Petrol,150,60.1,1.0
1160, Tucson,2019,15995,Manual,13060,Petrol,145,34.9,1.6
1161, I800,2017,13499,Automatic,44749,Diesel,145,33.6,2.5
1162, I30,2017,9499,Manual,34258,Diesel,145,74.3,1.6
1163, Tucson,2019,18100,Semi-Auto,15630,Petrol,145,36.2,1.6
1164, I800,2019,17750,Manual,3844,Diesel,145,31.7,2.5
1165, Tucson,2018,15691,Manual,9046,Petrol,145,44.8,1.6
1166, I10,2019,9970,Manual,11938,Petrol,145,57.6,1.2
1167, I10,2017,7470,Manual,15061,Petrol,30,57.7,1.2
1168, Tucson,2016,14000,Manual,25237,Diesel,30,61.7,1.7
1169, Kona,2018,13995,Manual,13820,Petrol,145,52.3,1.0
1170, IX20,2017,9628,Automatic,27918,Petrol,145,43.5,1.6
1171, I10,2016,8250,Semi-Auto,21344,Petrol,145,47.9,1.2
1172, Tucson,2018,15314,Manual,14653,Petrol,145,34.9,1.6
1173, I20,2017,8291,Manual,17772,Petrol,145,58.9,1.2
1174, Ioniq,2019,23991,Automatic,5500,Hybrid,135,78.5,1.6
1175, I10,2016,6295,Manual,30566,Petrol,20,60.1,1.0
1176, I10,2016,7000,Manual,21619,Petrol,30,57.6,1.2
1177, Kona,2019,15990,Manual,4180,Petrol,145,44.1,1.0
1178, I10,2017,8298,Manual,15553,Petrol,145,57.7,1.2
1179, I30,2016,8650,Manual,20000,Diesel,0,78.4,1.6
1180, I10,2019,10295,Manual,4587,Petrol,145,49.6,1.0
1181, I10,2013,4695,Manual,35600,Petrol,20,61.4,1.2
1182, I10,2017,7999,Manual,31000,Petrol,145,60.1,1.0
1183, Kona,2019,17950,Manual,25,Petrol,145,44.1,1.0
1184, I800,2018,15795,Automatic,31917,Diesel,145,33.6,2.5
1185, I10,2014,5498,Manual,23928,Petrol,20,60.1,1.0
1186, I20,2019,13495,Automatic,7569,Petrol,145,49.6,1.0
1187, I20,2019,11149,Manual,10876,Petrol,150,46.3,1.2
1188, I20,2015,7000,Manual,27130,Petrol,30,55.4,1.2
1189, I20,2014,5895,Manual,30950,Petrol,30,57.6,1.2
1190, IX35,2011,5490,Manual,75617,Diesel,145,48.7,1.7
1191, IX20,2016,7194,Manual,27696,Petrol,125,50.4,1.4
1192, Tucson,2019,17490,Manual,8009,Petrol,145,34.9,1.6
1193, Tucson,2019,21490,Manual,101,Petrol,145,34.9,1.6
1194, Tucson,2019,26495,Manual,2250,Hybrid,145,47.9,1.6
1195, Tucson,2017,14495,Manual,14513,Diesel,30,61.7,1.7
1196, I20,2016,7995,Manual,64074,Petrol,20,62.8,1.0
1197, I30,2019,17590,Manual,4952,Petrol,145,42.2,1.4
1198, Tucson,2017,16995,Automatic,44013,Diesel,235,43.5,2.0
1199, I30,2016,10595,Manual,31334,Petrol,235,38.7,1.6
1200, Kona,2019,15498,Manual,5630,Petrol,145,44.1,1.0
1201, I30,2019,13730,Manual,10100,Petrol,145,44.8,1.0
1202, Tucson,2017,13500,Manual,15131,Diesel,30,61.7,1.7
1203, I10,2019,8491,Manual,5650,Petrol,145,60.1,1.0
1204, I10,2019,10269,Manual,10,Petrol,145,60.1,1.0
1205, Tucson,2018,13980,Manual,12085,Diesel,145,61.7,1.7
1206, Kona,2018,12370,Manual,26096,Petrol,145,52.3,1.0
1207, Ioniq,2018,18498,Automatic,3138,Hybrid,135,78.5,1.6
1208, I20,2019,11450,Manual,5000,Petrol,145,47.9,1.0
1209, I10,2015,4590,Manual,62013,Petrol,20,60.1,1.0
1210, I800,2018,17990,Automatic,36501,Diesel,145,28.0,2.5
1211, I40,2016,11400,Automatic,27712,Diesel,125,56.5,1.7
1212, I20,2017,9000,Manual,17007,Petrol,145,65.7,1.0
1213, I30,2019,17690,Manual,4765,Petrol,145,42.2,1.4
1214, Santa Fe,2017,18991,Semi-Auto,32467,Diesel,235,42.8,2.2
1215, I10,2020,14485,Manual,100,Petrol,145,51.4,1.2
1216, Tucson,2017,12990,Manual,19769,Petrol,150,44.8,1.6
1217, I10,2015,4871,Manual,42761,Petrol,20,60.1,1.0
1218, I20,2019,9485,Manual,10758,Petrol,145,46.3,1.2
1219, I20,2017,8260,Manual,14225,Petrol,145,58.9,1.2
1220, I20,2019,10485,Manual,13484,Petrol,145,46.3,1.2
1221, Tucson,2019,18995,Semi-Auto,12141,Petrol,150,36.2,1.6
1222, Kona,2019,14495,Manual,14000,Petrol,145,44.1,1.0
1223, I10,2017,6495,Manual,38578,Petrol,145,60.1,1.0
1224, Tucson,2016,16490,Automatic,34100,Diesel,200,47.1,2.0
1225, Tucson,2017,11990,Manual,24010,Petrol,145,44.8,1.6
1226, Tucson,2017,12991,Manual,10320,Diesel,30,61.7,1.7
1227, IX20,2015,9990,Automatic,21900,Petrol,165,43.5,1.6
1228, Tucson,2019,23491,Semi-Auto,10,Petrol,145,36.2,1.6
1229, Tucson,2020,25995,Semi-Auto,985,Petrol,145,35.8,1.6
1230, I20,2019,12495,Manual,500,Petrol,145,46.3,1.2
1231, Tucson,2019,21995,Semi-Auto,9750,Hybrid,145,50.4,1.6
1232, Tucson,2018,15549,Manual,9056,Diesel,145,61.7,1.7
1233, Kona,2019,14450,Manual,9893,Petrol,145,44.1,1.0
1234, I10,2019,8590,Manual,3103,Petrol,150,60.1,1.0
1235, IX35,2014,11000,Manual,31000,Diesel,160,51.4,2.0
1236, I10,2017,7390,Manual,12115,Petrol,150,60.1,1.0
1237, I10,2015,6995,Manual,36188,Petrol,30,57.6,1.2
1238, I20,2017,8480,Manual,10402,Petrol,145,58.9,1.2
1239, Tucson,2017,13500,Manual,9654,Diesel,145,61.7,1.7
1240, I20,2016,7290,Manual,17784,Petrol,30,55.4,1.2
1241, I10,2016,6595,Manual,19570,Petrol,20,60.1,1.0
1242, Santa Fe,2019,32495,Semi-Auto,11000,Diesel,145,39.2,2.2
1243, I10,2019,10290,Manual,198,Petrol,145,49.6,1.0
1244, Santa Fe,2017,19691,Manual,7493,Diesel,200,47.1,2.2
1245, I10,2019,9295,Manual,7000,Petrol,145,60.1,1.0
1246, I10,2019,9995,Manual,4587,Petrol,145,49.6,1.0
1247, I20,2015,7995,Manual,6413,Petrol,30,55.4,1.2
1248, Santa Fe,2020,36495,Semi-Auto,6073,Diesel,145,39.2,2.2
1249, IX20,2018,10475,Automatic,12914,Petrol,145,43.5,1.6
