,model,year,price,transmission,mileage,fuelType,engineSize
454, C Class,2013,9990,Semi-Auto,41842,Diesel,2.1
455, C Class,2019,32959,Semi-Auto,1000,Diesel,2.0
456, C Class,2019,30572,Automatic,5524,Petrol,1.5
457, C Class,2016,15500,Automatic,36584,Diesel,1.6
458, C Class,2020,33509,Semi-Auto,1000,Petrol,2.0
459, C Class,2019,31980,Semi-Auto,9,Diesel,2.0
460, C Class,2017,31741,Semi-Auto,13500,Petrol,3.0
461, C Class,2019,29980,Semi-Auto,1998,Petrol,1.5
462, C Class,2016,15000,Manual,32254,Diesel,1.6
463, C Class,2013,10977,Automatic,72000,Diesel,2.1
464, C Class,2020,68995,Automatic,2000,Petrol,4.0
465, C Class,2017,23966,Automatic,29540,Petrol,2.0
466, C Class,2019,26149,Semi-Auto,11357,Diesel,2.0
467, C Class,2019,28706,Semi-Auto,1808,Diesel,1.6
468, C Class,2019,26176,Semi-Auto,14232,Petrol,1.5
469, C Class,2015,13000,Automatic,67150,Diesel,2.1
470, C Class,2017,19000,Automatic,31176,Hybrid,2.0
471, C Class,2009,7495,Automatic,54000,Petrol,1.6
472, C Class,2016,19999,Semi-Auto,17807,Petrol,2.0
473, C Class,2019,24980,Semi-Auto,4363,Petrol,1.5
474, C Class,2016,16298,Semi-Auto,29201,Diesel,1.6
475, C Class,2019,30995,Semi-Auto,14,Petrol,2.0
476, C Class,2015,13898,Manual,17426,Petrol,2.0
477, C Class,2017,16750,Automatic,33000,Diesel,2.1
478, C Class,2019,25749,Semi-Auto,13807,Diesel,2.0
479, C Class,2016,18624,Semi-Auto,21603,Petrol,2.0
480, C Class,2017,15280,Manual,27832,Diesel,1.6
481, C Class,2019,35068,Semi-Auto,11226,Petrol,1.5
482, C Class,2017,20998,Semi-Auto,16902,Diesel,2.1
483, C Class,2018,21299,Semi-Auto,5628,Diesel,2.1
484, C Class,2017,43082,Automatic,16386,Petrol,4.0
485, C Class,2018,20000,Automatic,11870,Petrol,2.0
486, C Class,2019,25980,Semi-Auto,8999,Petrol,1.5
487, C Class,2020,35980,Semi-Auto,9,Diesel,2.0
488, C Class,2014,10999,Automatic,54097,Diesel,2.1
489, C Class,2019,29980,Semi-Auto,9109,Diesel,2.0
490, C Class,2015,9791,Manual,90000,Diesel,2.1
491, C Class,2019,19849,Semi-Auto,14074,Petrol,1.5
492, C Class,2019,37449,Automatic,5510,Diesel,2.0
493, C Class,2019,26427,Automatic,13888,Diesel,2.0
494, C Class,2016,14999,Automatic,40814,Diesel,1.6
495, C Class,2011,8495,Automatic,66000,Diesel,2.1
496, C Class,2015,15991,Semi-Auto,35000,Diesel,2.1
497, C Class,2017,39336,Automatic,12157,Petrol,4.0
498, C Class,2017,24698,Semi-Auto,28631,Diesel,2.1
499, C Class,2012,10899,Automatic,49029,Diesel,2.1
500, C Class,2019,26500,Semi-Auto,3341,Petrol,1.5
501, C Class,2019,32499,Automatic,1950,Petrol,2.0
502, C Class,2018,30995,Semi-Auto,5514,Petrol,2.0
503, C Class,2019,20980,Semi-Auto,13645,Diesel,2.0
504, C Class,2020,36990,Semi-Auto,2151,Petrol,2.0
505, C Class,2015,11500,Manual,84830,Petrol,2.0
506, C Class,2019,30999,Semi-Auto,7144,Diesel,2.0
507, C Class,2019,28950,Automatic,2950,Diesel,2.0
508, C Class,2018,19999,Automatic,9705,Diesel,2.1
509, C Class,2018,24099,Semi-Auto,31140,Diesel,2.1
510, C Class,2014,15981,Semi-Auto,49552,Diesel,2.1
511, C Class,2016,16750,Automatic,24909,Diesel,1.6
512, C Class,2015,11695,Manual,103820,Diesel,2.1
513, C Class,2016,17822,Semi-Auto,19682,Diesel,2.1
514, C Class,2017,15980,Manual,34691,Diesel,2.1
515, C Class,2018,23990,Automatic,11387,Diesel,2.0
516, C Class,2016,13498,Manual,32174,Diesel,2.1
517, C Class,2019,63495,Automatic,500,Petrol,4.0
518, C Class,2019,31299,Semi-Auto,1000,Diesel,2.0
519, C Class,2019,40924,Automatic,5325,Petrol,2.0
520, C Class,2017,13980,Manual,21300,Petrol,2.0
521, C Class,2015,12000,Automatic,40005,Diesel,2.1
522, C Class,2014,13000,Automatic,56346,Diesel,2.1
523, C Class,2018,23499,Semi-Auto,22000,Diesel,2.0
524, C Class,2019,29995,Semi-Auto,9,Diesel,2.0
525, C Class,2019,30200,Semi-Auto,4589,Diesel,2.0
526, C Class,2020,41999,Semi-Auto,4999,Petrol,3.0
527, C Class,2019,28480,Semi-Auto,1998,Petrol,1.5
528, C Class,2016,20192,Automatic,34000,Diesel,2.1
529, C Class,2016,15990,Automatic,17000,Petrol,2.0
530, C Class,2019,31099,Automatic,1935,Petrol,2.0
531, C Class,2015,12299,Manual,73227,Petrol,2.0
532, C Class,2017,23995,Automatic,33867,Diesel,2.1
533, C Class,2019,24995,Automatic,3485,Petrol,1.5
534, C Class,2019,26899,Automatic,2019,Petrol,1.5
535, C Class,2019,41750,Semi-Auto,10004,Petrol,4.0
536, C Class,2018,20489,Semi-Auto,16900,Diesel,2.1
537, C Class,2015,13361,Semi-Auto,35034,Petrol,2.0
538, C Class,2019,31609,Semi-Auto,1000,Diesel,2.0
539, C Class,2019,31999,Automatic,3000,Diesel,2.0
540, C Class,2016,19498,Semi-Auto,24756,Diesel,2.1
541, C Class,2019,32026,Automatic,11471,Diesel,2.0
542, C Class,2019,25699,Semi-Auto,15251,Diesel,2.0
543, C Class,2019,24400,Automatic,10000,Petrol,1.5
544, C Class,2015,18000,Automatic,35229,Petrol,2.0
545, C Class,2016,16200,Automatic,37843,Diesel,2.1
546, C Class,2015,12790,Automatic,52000,Diesel,2.1
547, C Class,2020,30990,Semi-Auto,2780,Diesel,2.0
548, C Class,2019,31980,Automatic,1873,Diesel,2.0
549, C Class,2015,17130,Automatic,59549,Hybrid,2.1
550, C Class,2019,32068,Automatic,23,Diesel,2.0
551, C Class,2016,12195,Automatic,94440,Diesel,2.1
552, C Class,2015,19995,Automatic,57900,Diesel,2.1
553, C Class,2015,13260,Automatic,79950,Hybrid,2.1
554, C Class,2019,28991,Automatic,12583,Diesel,2.0
555, C Class,2019,36999,Semi-Auto,1000,Diesel,2.0
556, C Class,2019,29900,Automatic,2910,Petrol,1.5
557, C Class,2019,26899,Semi-Auto,2000,Petrol,1.5
558, C Class,2018,21199,Automatic,10815,Diesel,2.1
559, C Class,2019,27980,Semi-Auto,14742,Diesel,2.0
560, C Class,2016,22995,Semi-Auto,30012,Diesel,2.1
561, C Class,2016,16198,Manual,41974,Diesel,2.1
562, C Class,2015,10795,Manual,73770,Diesel,2.1
563, C Class,2019,25829,Automatic,9924,Diesel,2.0
564, C Class,2017,17973,Semi-Auto,69791,Hybrid,2.1
565, C Class,2019,20249,Semi-Auto,14481,Petrol,1.5
566, C Class,2015,12980,Semi-Auto,46500,Diesel,2.1
567, C Class,2014,14786,Automatic,41701,Diesel,2.1
568, C Class,2016,18449,Semi-Auto,23077,Diesel,2.1
569, C Class,2019,33530,Automatic,6780,Petrol,3.0
570, C Class,2019,25980,Semi-Auto,9156,Diesel,2.0
571, C Class,2015,14695,Automatic,53279,Diesel,2.1
572, C Class,2017,17981,Semi-Auto,13881,Diesel,2.1
573, C Class,2018,15600,Automatic,20139,Diesel,2.1
574, C Class,2004,1495,Manual,119000,Petrol,1.8
575, C Class,2019,28995,Automatic,3000,Petrol,1.5
576, C Class,2019,44990,Automatic,1474,Petrol,3.0
577, C Class,2019,20699,Semi-Auto,14593,Diesel,2.0
578, C Class,2015,14490,Automatic,78000,Diesel,2.1
579, C Class,2017,34981,Semi-Auto,28174,Petrol,4.0
580, C Class,2019,25249,Semi-Auto,10597,Petrol,1.5
581, C Class,2013,9298,Semi-Auto,80485,Diesel,2.1
582, C Class,2016,18700,Semi-Auto,33237,Diesel,2.1
583, C Class,2018,23899,Automatic,10945,Diesel,2.0
584, C Class,2019,20299,Semi-Auto,14298,Petrol,1.5
585, C Class,2019,23780,Semi-Auto,14663,Petrol,1.5
586, C Class,2019,30890,Automatic,4390,Petrol,2.0
587, C Class,2016,16700,Automatic,23539,Diesel,2.1
588, C Class,2017,22260,Semi-Auto,27637,Diesel,2.1
589, C Class,2019,40099,Semi-Auto,11267,Petrol,3.0
590, C Class,2016,11300,Manual,49604,Petrol,2.0
591, C Class,2019,29995,Semi-Auto,21,Diesel,2.0
592, C Class,2016,16657,Semi-Auto,24247,Diesel,2.1
593, C Class,2019,27699,Automatic,5307,Diesel,1.6
594, C Class,2016,21995,Semi-Auto,18998,Petrol,2.0
595, C Class,2019,28429,Semi-Auto,5866,Diesel,1.6
596, C Class,2015,16490,Semi-Auto,53126,Diesel,2.1
597, C Class,2019,24499,Automatic,10635,Petrol,1.5
598, C Class,2019,23949,Semi-Auto,18542,Petrol,1.5
599, C Class,2013,11499,Automatic,69900,Diesel,2.1
600, C Class,2017,22767,Automatic,30676,Diesel,2.1
601, C Class,2016,32980,Automatic,18389,Petrol,3.0
602, C Class,2019,23280,Automatic,3908,Petrol,1.5
603, C Class,2015,15998,Semi-Auto,32023,Diesel,2.1
604, C Class,2014,15298,Semi-Auto,41416,Diesel,2.1
605, C Class,2016,20995,Semi-Auto,14909,Diesel,2.1
606, C Class,2019,29498,Automatic,4885,Diesel,2.0
607, C Class,2016,14000,Automatic,81960,Hybrid,2.0
608, C Class,2018,28499,Semi-Auto,7661,Diesel,2.0
609, C Class,2019,26980,Semi-Auto,15275,Petrol,2.0
610, C Class,2015,18191,Semi-Auto,11470,Diesel,1.6
611, C Class,2019,28599,Semi-Auto,901,Diesel,2.0
612, C Class,2019,26399,Semi-Auto,9961,Diesel,2.0
613, C Class,2018,16799,Automatic,29970,Petrol,2.0
614, C Class,2018,22549,Semi-Auto,5437,Petrol,1.5
615, C Class,2019,19849,Semi-Auto,14085,Petrol,1.5
616, C Class,2019,25995,Semi-Auto,7868,Diesel,1.6
617, C Class,2020,42980,Semi-Auto,3999,Petrol,3.0
618, C Class,2017,24999,Semi-Auto,21210,Diesel,2.1
619, C Class,2017,20680,Semi-Auto,22486,Diesel,2.1
620, C Class,2018,19799,Automatic,20173,Diesel,2.1
621, C Class,2019,25440,Semi-Auto,8763,Diesel,2.0
622, C Class,2018,34990,Automatic,19500,Petrol,3.0
623, C Class,2019,23849,Semi-Auto,15207,Petrol,1.5
624, C Class,2019,24899,Automatic,7137,Petrol,1.5
625, C Class,2019,27199,Semi-Auto,930,Petrol,1.5
626, C Class,2016,17977,Automatic,40000,Diesel,1.6
627, C Class,2020,39991,Semi-Auto,1173,Diesel,2.0
628, C Class,2019,34799,Semi-Auto,3435,Petrol,1.5
629, C Class,2006,14995,Automatic,63000,Petrol,5.4
630, C Class,2016,19000,Automatic,27574,Diesel,2.1
631, C Class,2015,12000,Automatic,40005,Diesel,2.1
632, C Class,2019,32498,Semi-Auto,11301,Diesel,2.0
633, C Class,2019,33980,Semi-Auto,9,Diesel,2.0
634, C Class,2017,20749,Semi-Auto,19119,Hybrid,2.0
635, C Class,2014,11290,Automatic,48000,Diesel,2.1
636, C Class,2019,29944,Automatic,3500,Petrol,1.5
637, C Class,2019,29349,Semi-Auto,11561,Diesel,2.0
638, C Class,2018,37999,Semi-Auto,5000,Petrol,3.0
639, C Class,2015,15970,Automatic,81423,Diesel,2.1
640, C Class,2015,10700,Semi-Auto,58724,Diesel,2.1
641, C Class,2017,19950,Automatic,30000,Petrol,2.0
642, C Class,2019,25699,Semi-Auto,11793,Petrol,1.5
643, C Class,2016,20500,Automatic,16801,Diesel,2.1
644, C Class,2017,25092,Automatic,22700,Diesel,2.1
645, C Class,2019,26176,Semi-Auto,9463,Petrol,1.5
646, C Class,2019,27349,Semi-Auto,5917,Diesel,2.0
647, C Class,2017,19280,Semi-Auto,43855,Diesel,2.1
648, C Class,2019,27998,Semi-Auto,10134,Diesel,2.0
649, C Class,2016,17500,Automatic,52749,Hybrid,2.1
650, C Class,2019,38610,Automatic,6249,Petrol,3.0
651, C Class,2019,20999,Semi-Auto,13731,Diesel,2.0
652, C Class,2015,17695,Automatic,64765,Diesel,2.1
653, C Class,2019,34995,Automatic,5999,Diesel,2.0
654, C Class,2019,20549,Semi-Auto,13243,Diesel,2.0
655, C Class,2019,28299,Semi-Auto,7395,Diesel,2.0
656, C Class,2020,31480,Semi-Auto,9,Diesel,2.0
657, C Class,2018,38123,Automatic,8233,Petrol,3.0
658, C Class,2014,11750,Semi-Auto,77043,Diesel,2.1
659, C Class,2015,17149,Automatic,48191,Diesel,2.1
660, C Class,2019,27499,Semi-Auto,10803,Diesel,1.6
661, C Class,2019,25799,Automatic,7508,Diesel,2.0
662, C Class,2018,29499,Automatic,1988,Petrol,2.0
663, C Class,2019,25499,Semi-Auto,16121,Diesel,2.0
664, C Class,2019,25900,Semi-Auto,9625,Petrol,1.5
665, C Class,2018,18819,Automatic,30772,Diesel,2.1
666, C Class,2013,21999,Automatic,41866,Petrol,6.2
667, C Class,2017,21499,Automatic,11136,Diesel,2.1
668, C Class,2019,26450,Semi-Auto,8439,Diesel,1.6
669, C Class,2017,20100,Automatic,13659,Petrol,2.0
670, C Class,2018,25280,Automatic,4944,Diesel,2.1
671, C Class,2016,14000,Automatic,45000,Diesel,2.1
672, C Class,2016,12295,Automatic,113770,Hybrid,2.0
673, C Class,2019,30740,Semi-Auto,7926,Diesel,2.0
674, C Class,2018,20685,Semi-Auto,21929,Diesel,2.1
675, C Class,2019,24306,Semi-Auto,15253,Diesel,2.0
676, C Class,2019,27980,Semi-Auto,10982,Petrol,1.5
677, C Class,2016,15900,Manual,9870,Diesel,1.6
678, C Class,2020,39995,Semi-Auto,5000,Petrol,1.5
679, C Class,2019,44000,Semi-Auto,3999,Petrol,3.0
680, C Class,2015,14000,Manual,43927,Diesel,2.1
681, C Class,2019,29480,Semi-Auto,10844,Petrol,2.0
682, C Class,2019,29299,Semi-Auto,2905,Diesel,2.0
683, C Class,2017,17795,Automatic,37778,Diesel,2.1
684, C Class,2005,15990,Automatic,73000,Petrol,5.4
685, C Class,2019,30980,Semi-Auto,4957,Diesel,2.0
686, C Class,2017,13800,Automatic,50369,Diesel,2.1
687, C Class,2019,26490,Automatic,14696,Diesel,2.0
688, C Class,2016,18999,Automatic,25334,Petrol,2.0
689, C Class,2019,27299,Automatic,138,Petrol,1.5
690, C Class,2018,19840,Automatic,14467,Diesel,2.1
691, C Class,2015,15750,Automatic,28953,Diesel,2.1
692, C Class,2016,14965,Semi-Auto,30487,Diesel,2.1
693, C Class,2019,22980,Automatic,11287,Diesel,1.6
694, C Class,2019,27750,Semi-Auto,2192,Petrol,1.5
695, C Class,2015,9793,Manual,113000,Diesel,2.1
696, C Class,2017,18490,Semi-Auto,25584,Petrol,2.0
697, C Class,2019,27998,Automatic,5144,Diesel,2.0
698, C Class,2019,25249,Semi-Auto,1729,Petrol,1.5
699, C Class,2019,28896,Automatic,5044,Diesel,2.0
700, C Class,2017,20491,Semi-Auto,27993,Diesel,2.1
701, C Class,2017,18510,Semi-Auto,27573,Diesel,2.1
702, C Class,2015,16990,Automatic,40000,Diesel,2.1
703, C Class,2019,30840,Semi-Auto,6200,Diesel,2.0
704, C Class,2017,14645,Automatic,42104,Diesel,2.1
705, C Class,2016,23999,Semi-Auto,10000,Diesel,2.1
706, C Class,2019,25699,Semi-Auto,13044,Diesel,2.0
707, C Class,2019,25099,Automatic,3400,Petrol,1.6
708, C Class,2017,16791,Semi-Auto,45624,Diesel,2.1
709, C Class,2015,12000,Automatic,40005,Diesel,2.1
710, C Class,2016,16998,Semi-Auto,26973,Diesel,1.6
711, C Class,2016,18799,Semi-Auto,26428,Diesel,2.1
712, C Class,2016,21099,Semi-Auto,9272,Diesel,2.1
713, C Class,2019,31599,Semi-Auto,3115,Diesel,2.0
714, C Class,2016,17998,Semi-Auto,6043,Diesel,1.6
715, C Class,2017,33499,Semi-Auto,30968,Petrol,3.0
716, C Class,2016,12795,Automatic,100000,Hybrid,2.0
717, C Class,2016,14000,Automatic,45000,Diesel,2.1
718, C Class,2019,30000,Semi-Auto,8750,Diesel,2.0
719, C Class,2010,5975,Automatic,90000,Diesel,2.1
720, C Class,2015,11200,Automatic,34799,Diesel,2.1
721, C Class,2016,14000,Automatic,45000,Diesel,2.1
722, C Class,2015,12000,Automatic,40005,Diesel,2.1
723, C Class,2016,13991,Semi-Auto,49494,Diesel,2.1
724, C Class,2017,15690,Semi-Auto,35488,Diesel,2.1
725, C Class,2019,54980,Automatic,9155,Petrol,4.0
726, C Class,2019,28150,Automatic,1999,Petrol,1.5
727, C Class,2019,30799,Automatic,7264,Diesel,2.0
728, C Class,2015,12000,Automatic,40005,Diesel,2.1
729, C Class,2019,67159,Automatic,883,Petrol,4.0
730, C Class,2017,19000,Semi-Auto,17329,Diesel,2.1
731, C Class,2015,17450,Semi-Auto,37000,Diesel,2.1
732, C Class,2019,29499,Automatic,4443,Diesel,2.0
733, C Class,2019,31980,Semi-Auto,1854,Petrol,1.5
734, C Class,2014,14288,Semi-Auto,54230,Diesel,2.1
735, C Class,2017,16402,Automatic,22214,Petrol,2.0
736, C Class,2013,9995,Automatic,44900,Petrol,1.6
737, C Class,2019,31199,Semi-Auto,4979,Petrol,2.0
738, C Class,2017,16590,Semi-Auto,52519,Diesel,1.6
739, C Class,2014,15999,Automatic,31690,Diesel,2.1
740, C Class,2016,23299,Automatic,24735,Diesel,2.1
741, C Class,2018,15489,Manual,36000,Petrol,2.0
742, C Class,2019,23849,Semi-Auto,14079,Diesel,2.0
743, C Class,2019,23995,Automatic,14141,Petrol,1.5
744, C Class,2017,20480,Automatic,30053,Hybrid,2.0
745, C Class,2017,24480,Automatic,19402,Petrol,2.0
746, C Class,2018,24991,Automatic,6001,Petrol,2.0
747, C Class,2019,26999,Semi-Auto,8510,Petrol,1.5
748, C Class,2019,29980,Semi-Auto,8202,Petrol,1.5
749, C Class,2015,18498,Semi-Auto,29817,Diesel,2.1
750, C Class,2016,17998,Automatic,32769,Diesel,2.1
751, C Class,2018,22498,Semi-Auto,3900,Diesel,2.1
752, C Class,2019,25999,Semi-Auto,13701,Petrol,1.5
753, C Class,2016,15495,Automatic,72676,Hybrid,2.0
754, C Class,2019,22980,Manual,7410,Diesel,1.6
755, C Class,2017,30995,Automatic,22191,Petrol,3.0
756, C Class,2016,21499,Automatic,26741,Diesel,2.1
757, C Class,2015,17200,Automatic,40961,Diesel,2.1
758, C Class,2018,21990,Semi-Auto,1871,Petrol,1.5
759, C Class,2020,35491,Semi-Auto,2669,Diesel,2.0
760, C Class,2016,13999,Manual,28960,Diesel,1.6
761, C Class,2019,24924,Semi-Auto,12907,Diesel,2.0
762, C Class,2017,18495,Semi-Auto,41857,Diesel,2.1
763, C Class,2019,32069,Automatic,1000,Diesel,2.0
764, C Class,2016,36981,Semi-Auto,20500,Petrol,4.0
765, C Class,2017,16911,Semi-Auto,32390,Diesel,1.6
766, C Class,2016,14000,Automatic,45000,Diesel,2.1
767, C Class,2019,29775,Semi-Auto,5059,Diesel,2.0
768, C Class,2020,39981,Semi-Auto,4065,Diesel,2.0
769, C Class,2019,34099,Semi-Auto,6033,Petrol,2.0
770, C Class,2018,25999,Automatic,10913,Diesel,2.1
771, C Class,2016,24890,Semi-Auto,25002,Diesel,2.1
772, C Class,2018,19750,Automatic,19443,Diesel,2.1
773, C Class,2019,20990,Semi-Auto,3239,Diesel,1.6
774, C Class,2019,35199,Semi-Auto,2086,Petrol,1.5
775, C Class,2019,25149,Semi-Auto,13157,Petrol,1.5
776, C Class,2018,15999,Semi-Auto,41650,Diesel,2.1
777, C Class,2018,18799,Automatic,28848,Diesel,2.1
778, C Class,2019,22124,Semi-Auto,14000,Petrol,1.5
779, C Class,2017,17480,Semi-Auto,38546,Diesel,2.1
780, C Class,2020,28990,Automatic,3458,Petrol,1.5
781, C Class,2016,16499,Semi-Auto,35459,Diesel,2.1
782, C Class,2018,24799,Semi-Auto,20087,Petrol,2.0
783, C Class,2019,22900,Semi-Auto,21481,Petrol,1.5
784, C Class,2020,33990,Semi-Auto,100,Diesel,2.0
785, C Class,2014,17250,Automatic,34772,Diesel,2.1
786, C Class,2020,30444,Automatic,6000,Diesel,1.6
787, C Class,2019,30675,Automatic,1550,Diesel,2.0
788, C Class,2017,36895,Semi-Auto,20699,Petrol,4.0
789, C Class,2019,25349,Semi-Auto,9728,Petrol,1.5
790, C Class,2015,39990,Automatic,32000,Petrol,4.0
791, C Class,2016,17999,Automatic,25108,Diesel,2.1
792, C Class,2018,19000,Automatic,19542,Petrol,2.0
793, C Class,2019,28995,Semi-Auto,5196,Diesel,2.0
794, C Class,2015,16789,Semi-Auto,20100,Diesel,2.1
795, C Class,2019,26049,Semi-Auto,9612,Petrol,1.5
796, C Class,2011,7999,Manual,64000,Petrol,1.8
797, C Class,2019,32995,Semi-Auto,24,Petrol,2.0
798, C Class,2014,10822,Automatic,70824,Diesel,2.1
799, C Class,2014,11900,Manual,48055,Diesel,2.1
800, C Class,2017,36995,Automatic,25286,Petrol,3.0
801, C Class,2019,27399,Semi-Auto,2899,Petrol,1.5
802, C Class,2018,18649,Semi-Auto,38277,Diesel,2.1
803, C Class,2019,30236,Automatic,7831,Petrol,2.0
804, C Class,2018,25399,Semi-Auto,18257,Diesel,2.1
805, C Class,2017,22950,Automatic,9000,Diesel,2.1
806, C Class,2019,19980,Semi-Auto,14568,Petrol,1.5
807, C Class,2014,10393,Automatic,140000,Diesel,2.1
808, C Class,2019,43199,Semi-Auto,9551,Petrol,3.0
809, C Class,2014,13390,Semi-Auto,43793,Petrol,2.0
810, C Class,2019,31199,Semi-Auto,4885,Diesel,2.0
811, C Class,2017,17599,Automatic,50212,Diesel,1.6
812, C Class,2015,15142,Semi-Auto,48000,Diesel,2.1
813, C Class,2019,20499,Semi-Auto,13490,Diesel,2.0
814, C Class,2020,49990,Automatic,2000,Petrol,3.0
815, C Class,2020,30500,Semi-Auto,700,Diesel,2.0
816, C Class,2020,39994,Semi-Auto,2499,Diesel,2.0
817, C Class,2019,39995,Semi-Auto,3560,Petrol,3.0
818, C Class,2017,20889,Automatic,25599,Diesel,2.1
819, C Class,2017,13900,Manual,47608,Diesel,2.1
820, C Class,2014,16360,Semi-Auto,46425,Diesel,2.1
821, C Class,2018,28298,Automatic,13500,Diesel,2.1
822, C Class,2019,24499,Semi-Auto,12902,Diesel,2.0
823, C Class,2016,15429,Semi-Auto,50446,Diesel,1.6
824, C Class,2019,28825,Semi-Auto,8351,Diesel,2.0
825, C Class,2004,1780,Automatic,118000,Diesel,2.2
826, C Class,2019,34990,Automatic,3196,Diesel,1.6
827, C Class,2019,28990,Automatic,1544,Diesel,2.0
828, C Class,2016,36399,Semi-Auto,27416,Petrol,4.0
829, C Class,2019,27889,Automatic,6250,Petrol,2.0
830, C Class,2015,12000,Automatic,40005,Diesel,2.1
831, C Class,2019,49280,Automatic,962,Petrol,4.0
832, C Class,2016,17999,Automatic,42569,Diesel,2.1
833, C Class,2019,25549,Semi-Auto,14923,Diesel,2.0
834, C Class,2016,17590,Automatic,32719,Diesel,1.6
835, C Class,2017,16267,Automatic,27040,Diesel,2.1
836, C Class,2019,25199,Semi-Auto,5856,Diesel,2.0
837, C Class,2019,34070,Automatic,14413,Diesel,2.0
838, C Class,2019,23998,Semi-Auto,10357,Diesel,2.0
839, C Class,2019,20480,Semi-Auto,14568,Petrol,1.5
840, C Class,2014,16450,Semi-Auto,27032,Diesel,2.1
841, C Class,2015,16899,Semi-Auto,30895,Diesel,2.1
842, C Class,2020,31980,Automatic,500,Diesel,2.0
843, C Class,2017,18049,Semi-Auto,41005,Diesel,2.1
844, C Class,2017,16750,Semi-Auto,20000,Diesel,2.1
845, C Class,2020,33900,Automatic,6000,Petrol,1.5
846, C Class,2019,31999,Semi-Auto,1000,Diesel,2.0
847, C Class,2019,29980,Semi-Auto,9782,Diesel,2.0
848, C Class,2019,20299,Semi-Auto,14088,Petrol,1.5
849, C Class,2019,31980,Semi-Auto,3986,Diesel,2.0
850, C Class,2019,34995,Automatic,5000,Petrol,2.0
851, C Class,2017,14990,Manual,41647,Diesel,2.1
852, C Class,2019,21497,Semi-Auto,3539,Diesel,1.6
853, C Class,2016,16890,Semi-Auto,60677,Diesel,2.1
854, C Class,2019,31699,Semi-Auto,9839,Diesel,2.0
855, C Class,2019,31199,Semi-Auto,2000,Petrol,1.5
856, C Class,2018,19399,Automatic,9047,Diesel,2.1
857, C Class,2019,27889,Semi-Auto,10111,Diesel,2.0
858, C Class,2018,23299,Semi-Auto,17000,Diesel,2.1
859, C Class,2015,14795,Automatic,109050,Hybrid,2.1
860, C Class,2018,30022,Automatic,6061,Diesel,2.0
861, C Class,2020,34500,Semi-Auto,100,Diesel,2.0
862, C Class,2015,14750,Semi-Auto,32594,Diesel,2.1
863, C Class,2019,36980,Semi-Auto,16,Diesel,2.0
864, C Class,2019,30900,Automatic,2776,Petrol,2.0
865, C Class,2019,26980,Semi-Auto,11423,Diesel,2.0
866, C Class,2016,22790,Semi-Auto,9600,Petrol,2.0
867, C Class,2018,27980,Automatic,2075,Petrol,1.5
868, C Class,2010,7990,Automatic,66000,Diesel,2.1
869, C Class,2019,28400,Semi-Auto,16884,Diesel,2.0
870, C Class,2020,39099,Semi-Auto,1000,Petrol,2.0
871, C Class,2019,31000,Semi-Auto,3144,Diesel,2.0
872, C Class,2019,27690,Semi-Auto,8070,Petrol,2.0
873, C Class,2019,27066,Automatic,6655,Petrol,2.0
874, C Class,2019,25949,Semi-Auto,10201,Petrol,1.5
875, C Class,2016,15798,Semi-Auto,41279,Diesel,2.1
876, C Class,2019,25950,Automatic,1090,Petrol,1.5
877, C Class,2019,28388,Semi-Auto,4900,Diesel,2.0
878, C Class,2019,27799,Semi-Auto,3251,Diesel,2.0
879, C Class,2017,20612,Semi-Auto,27526,Diesel,2.1
880, C Class,2016,13850,Automatic,77814,Other,2.0
881, C Class,2017,24499,Semi-Auto,19169,Diesel,2.1
882, C Class,2019,27400,Semi-Auto,11723,Diesel,2.0
883, C Class,2017,18900,Automatic,31674,Petrol,2.0
884, C Class,2020,34995,Semi-Auto,5000,Diesel,2.0
885, C Class,2019,25299,Semi-Auto,10185,Petrol,1.5
886, C Class,2019,30149,Semi-Auto,6362,Diesel,2.0
887, C Class,2017,35499,Automatic,10709,Petrol,3.0
888, C Class,2019,28995,Semi-Auto,4099,Petrol,1.5
889, C Class,2019,30499,Semi-Auto,1126,Diesel,2.0
890, C Class,2015,15500,Automatic,32967,Diesel,2.1
891, C Class,2019,22156,Automatic,15179,Petrol,1.5
892, C Class,2017,16999,Automatic,33368,Diesel,2.1
893, C Class,2019,32900,Semi-Auto,3579,Petrol,2.0
894, C Class,2019,19980,Semi-Auto,14379,Petrol,1.5
895, C Class,2019,31990,Semi-Auto,4615,Diesel,2.0
896, C Class,2013,9750,Automatic,69700,Diesel,2.1
897, C Class,2013,9000,Automatic,56544,Diesel,2.1
898, C Class,2016,16990,Semi-Auto,35394,Diesel,2.1
899, C Class,2019,26499,Semi-Auto,3798,Petrol,1.5
900, C Class,2019,23948,Automatic,16496,Petrol,1.5
901, C Class,2016,13000,Manual,22886,Diesel,2.1
902, C Class,2015,13990,Automatic,50000,Petrol,2.0
903, C Class,2019,19849,Semi-Auto,14085,Petrol,1.5
904, C Class,2019,24480,Semi-Auto,13314,Diesel,2.0
905, C Class,2019,33799,Semi-Auto,5669,Diesel,2.0
906, C Class,2019,29399,Semi-Auto,283,Petrol,1.6
907, C Class,2016,16000,Automatic,67490,Hybrid,2.0
908, C Class,2019,31999,Automatic,999,Diesel,2.0
909, C Class,2014,16964,Automatic,20281,Diesel,2.1
910, C Class,2012,9124,Automatic,60586,Diesel,2.1
911, C Class,2019,29748,Automatic,8000,Diesel,2.0
